model,trim,engine,category,crawl_state,part_count,assembly_count,source_url,retrieved_at,error
Chrysler 300,C,3.6L V6 Flex,3 0L Gas Engine / Cylinder Block,complete,3,1,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-0l-gas-engine--cylinder-block,2026-07-31T21:57:41+00:00,
Chrysler 300,C,3.6L V6 Flex,3 0L Gas Engine / Cylinder Head,complete,1,1,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-0l-gas-engine--cylinder-head,2026-07-31T21:57:51+00:00,
Chrysler 300,C,3.6L V6 Flex,3 0L Gas Engine / Engine Mounting,complete,6,2,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-0l-gas-engine--engine-mounting,2026-07-31T21:58:01+00:00,
Chrysler 300,C,3.6L V6 Flex,3 0L Gas Engine / Engine Oiling Oil Pan And Indicator Dipstick,complete,1,1,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-0l-gas-engine--engine-oiling-oil-pan-and-indicator-dipstick,2026-07-31T21:58:11+00:00,
Chrysler 300,C,3.6L V6 Flex,3 0L Gas Engine / Timing Belt Chain And Cover And Balance Shaft,complete,1,1,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-0l-gas-engine--timing-belt-chain-and-cover-and-balance-shaft,2026-07-31T21:58:21+00:00,
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Camshaft And Valve,complete,15,1,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--camshaft-and-valve,2026-07-31T21:58:31+00:00,
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Crankcase Ventilation,complete,4,1,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--crankcase-ventilation,2026-07-31T21:58:41+00:00,
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Crankshaft Piston Drive Plate Flywheel And Damper,complete,21,2,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--crankshaft-piston-drive-plate-flywheel-and-damper,2026-07-31T21:58:51+00:00,
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Cylinder Block,complete,16,2,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--cylinder-block,2026-07-31T21:59:01+00:00,
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Cylinder Head,complete,21,2,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--cylinder-head,2026-07-31T21:59:11+00:00,
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Engine Identification Service Engines And Engine Service Kits,pending,0,0,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--engine-identification-service-engines-and-engine-service-kits,,
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Engine Mounting,pending,0,0,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--engine-mounting,,
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Engine Oiling Oil Pan And Indicator Dipstick,pending,0,0,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--engine-oiling-oil-pan-and-indicator-dipstick,,
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Manifolds And Vacuum Fittings,pending,0,0,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--manifolds-and-vacuum-fittings,,
