model,trim,engine,category,part_number,normalized_part_number,description,detail,evidence_url
Chrysler 300,C,3.6L V6 Flex,3 0L Gas Engine / Cylinder Block,4609325AB,4609325AB,Engine Block Heater,![Image 14: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | *Description:** 2.7l. 3.5l. | MSRP  $108.00 | $70.07,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-0l-gas-engine--cylinder-block
Chrysler 300,C,3.6L V6 Flex,3 0L Gas Engine / Cylinder Block,6501957,6501957,Bolt,![Image 16: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. 5.7L V8 HEMI MDS VVT Engine. 6.4L V8 SRT HEMI MDS Engine. | MSRP  $3.20 | $2.04 | +,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-0l-gas-engine--cylinder-block
Chrysler 300,C,3.6L V6 Flex,3 0L Gas Engine / Cylinder Block,68083745AA,68083745AA,Engine Block Heater Cord,![Image 12: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | MSRP  $121.00 | $77.72 | +,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-0l-gas-engine--cylinder-block
Chrysler 300,C,3.6L V6 Flex,3 0L Gas Engine / Cylinder Head,68093232AA,68093232AA,Exhaust Flange To Cylinder Head Gasket,![Image 7: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | *Description:** To Cylinder Head. Exhaust Flange to Manifold. | MSRP  $25.00 | $16.50,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-0l-gas-engine--cylinder-head
Chrysler 300,C,3.6L V6 Flex,3 0L Gas Engine / Engine Mounting,4726022AB,4726022AB,Engine Mount Bracket,![Image 27: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Positions:** Right | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | *Description:** Right Side. | MSRP  $135.00,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-0l-gas-engine--engine-mounting
Chrysler 300,C,3.6L V6 Flex,3 0L Gas Engine / Engine Mounting,5090026AA,5090026AA,Engine Mount Heat Shield,![Image 19: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. 5.7L V8 HEMI MDS VVT Engine. | MSRP  $33.65 | $22.00 | +,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-0l-gas-engine--engine-mounting
Chrysler 300,C,3.6L V6 Flex,3 0L Gas Engine / Engine Mounting,6101831,6101831,Skid Transfer Case Plate Kit,![Image 17: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. 5.7L V8 HEMI MDS VVT Engine. 6.4L V8 SRT HEMI MDS Engine. | MSRP  $9.35 | $6.16 | +,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-0l-gas-engine--engine-mounting
Chrysler 300,C,3.6L V6 Flex,3 0L Gas Engine / Engine Mounting,6102019,6102019,Hex Head Bolt And Washer Mounting,![Image 25: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | MSRP  $3.65 | $2.31 | + | Add to Cart,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-0l-gas-engine--engine-mounting
Chrysler 300,C,3.6L V6 Flex,3 0L Gas Engine / Engine Mounting,6104416AA,6104416AA,Hex Head Bolt And Washer Mounting,![Image 23: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | MSRP  $13.90 | $9.13 | + | Add to Cart,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-0l-gas-engine--engine-mounting
Chrysler 300,C,3.6L V6 Flex,3 0L Gas Engine / Engine Mounting,6505653AA,6505653AA,Double Ended Stud Mounting,![Image 21: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. 5.7L V8 HEMI MDS VVT Engine. 6.4L V8 SRT HEMI MDS Engine. | *Description:** Compressor Bracket and Belt Guide mounting. [m10x1.50x86.63]. [m10x1.50xm8x1.25x93.63]. Right Side. Engine Mount Bracket To Cylinder Block. | MSRP  $6.15 | $3.96,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-0l-gas-engine--engine-mounting
