part_number,normalized_part_number,description,product_url
4556020AB,4556020AB,Core Plug Cylinder Head Plug,https://www.moparamerica.com/oem-parts/mopar-core-plug-cylinder-head-plug-4556020ab
4609325AB,4609325AB,Engine Block Heater,https://www.moparamerica.com/oem-parts/mopar-engine-block-heater-4609325ab
4663722,4663722,Valve Spring Retainer Lock,https://www.moparamerica.com/oem-parts/mopar-valve-spring-retainer-lock-4663722
4726022AB,4726022AB,Engine Mount Bracket,https://www.moparamerica.com/oem-parts/mopar-engine-mount-bracket-4726022ab
4752463AB,4752463AB,Torque Converter Drive Plate,https://www.moparamerica.com/oem-parts/mopar-torque-converter-drive-plate-4752463ab
4752465AA,4752465AA,Flex Plate Or Flywheel Backing Plate,https://www.moparamerica.com/oem-parts/mopar-flex-plate-or-flywheel-backing-plate-4752465aa
5048025AA,5048025AA,Valve Guide Seal,https://www.moparamerica.com/oem-parts/mopar-valve-guide-seal-5048025aa
5090026AA,5090026AA,Engine Mount Heat Shield,https://www.moparamerica.com/oem-parts/mopar-engine-mount-heat-shield-5090026aa
5184060AN,5184060AN,Valve Spring,https://www.moparamerica.com/oem-parts/mopar-valve-spring-5184060an
5184086AH,5184086AH,Crankshaft Lower Bearing,https://www.moparamerica.com/oem-parts/mopar-crankshaft-lower-bearing-5184086ah
5184087AH,5184087AH,Crankshaft Lower Bearing,https://www.moparamerica.com/oem-parts/mopar-crankshaft-lower-bearing-5184087ah
5184088AH,5184088AH,Crankshaft Lower Bearing,https://www.moparamerica.com/oem-parts/mopar-crankshaft-lower-bearing-5184088ah
5184089AH,5184089AH,Crankshaft Lower Bearing,https://www.moparamerica.com/oem-parts/mopar-crankshaft-lower-bearing-5184089ah
5184090AH,5184090AH,Crankshaft Lower Bearing,https://www.moparamerica.com/oem-parts/mopar-crankshaft-lower-bearing-5184090ah
5184103AI,5184103AI,Crankshaft Upper Bearing,https://www.moparamerica.com/oem-parts/mopar-crankshaft-upper-bearing-5184103ai
5184104AI,5184104AI,Crankshaft Upper Bearing,https://www.moparamerica.com/oem-parts/mopar-crankshaft-upper-bearing-5184104ai
5184105AI,5184105AI,Crankshaft Upper Bearing,https://www.moparamerica.com/oem-parts/mopar-crankshaft-upper-bearing-5184105ai
