node_id,variation_id,parent_node_id,node_type,source_label,normalized_label,source_slug,source_url,ordinal,discovery_status,source_accessed_at
sub-15ab93e2bc19577e595bf807,challenger-rt-57-gas,cat-35094ca7d347c5cae75bf698,SUBCATEGORY,Engine Mounting,engine mounting,3-6l-gas-engine--engine-mounting,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/3-6l-gas-engine--engine-mounting,1,DISCOVERED,2026-07-31T23:48:46+00:00
cat-35094ca7d347c5cae75bf698,challenger-rt-57-gas,,CATEGORY,3 6L Gas Engine,3 6l gas engine,3-6l-gas-engine,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/3-6l-gas-engine,2,DISCOVERED,2026-07-31T23:48:46+00:00
sub-e84261e352f8962fd1de8cc3,challenger-rt-57-gas,cat-35094ca7d347c5cae75bf698,SUBCATEGORY,"Engine Oiling, Oil Pan and Indicator (Dipstick)","engine oiling, oil pan and indicator (dipstick)",3-6l-gas-engine--engine-oiling-oil-pan-and-indicator-dipstick,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/3-6l-gas-engine--engine-oiling-oil-pan-and-indicator-dipstick,2,DISCOVERED,2026-07-31T23:48:46+00:00
sub-fc67bfaff51074f805bc1544,challenger-rt-57-gas,cat-5b03e98fa2400349cad122b7,SUBCATEGORY,Camshaft and Valve,camshaft and valve,5-7l-gas-engine--camshaft-and-valve,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/5-7l-gas-engine--camshaft-and-valve,3,DISCOVERED,2026-07-31T23:48:46+00:00
sub-9061c9f9d0c15885537c9f0e,challenger-rt-57-gas,cat-5b03e98fa2400349cad122b7,SUBCATEGORY,Crankcase Ventilation,crankcase ventilation,5-7l-gas-engine--crankcase-ventilation,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/5-7l-gas-engine--crankcase-ventilation,4,DISCOVERED,2026-07-31T23:48:46+00:00
sub-20d90e63b60f56c10f203911,challenger-rt-57-gas,cat-5b03e98fa2400349cad122b7,SUBCATEGORY,"Crankshaft, Piston, Drive Plate, Flywheel, and Damper","crankshaft, piston, drive plate, flywheel, and damper",5-7l-gas-engine--crankshaft-piston-drive-plate-flywheel-and-damper,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/5-7l-gas-engine--crankshaft-piston-drive-plate-flywheel-and-damper,5,DISCOVERED,2026-07-31T23:48:46+00:00
sub-87349d16d9072d40068b74cc,challenger-rt-57-gas,cat-5b03e98fa2400349cad122b7,SUBCATEGORY,Cylinder Block,cylinder block,5-7l-gas-engine--cylinder-block,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/5-7l-gas-engine--cylinder-block,6,DISCOVERED,2026-07-31T23:48:46+00:00
sub-8b1562453b00c91b94ebec89,challenger-rt-57-gas,cat-5b03e98fa2400349cad122b7,SUBCATEGORY,Cylinder Head,cylinder head,5-7l-gas-engine--cylinder-head,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/5-7l-gas-engine--cylinder-head,7,DISCOVERED,2026-07-31T23:48:46+00:00
sub-7de98b56409c0236eb4d59ec,challenger-rt-57-gas,cat-5b03e98fa2400349cad122b7,SUBCATEGORY,"Engine Identification, Service Engines & Engine Service Kits","engine identification, service engines & engine service kits",5-7l-gas-engine--engine-identification-service-engines-and-engine-service-kits,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/5-7l-gas-engine--engine-identification-service-engines-and-engine-service-kits,8,DISCOVERED,2026-07-31T23:48:46+00:00
sub-6bd59296f605dee08beb104a,challenger-rt-57-gas,cat-5b03e98fa2400349cad122b7,SUBCATEGORY,Engine Mounting,engine mounting,5-7l-gas-engine--engine-mounting,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/5-7l-gas-engine--engine-mounting,9,DISCOVERED,2026-07-31T23:48:46+00:00
sub-6a7d36791fcbbca40225f28f,challenger-rt-57-gas,cat-5b03e98fa2400349cad122b7,SUBCATEGORY,"Engine Oiling, Oil Pan and Indicator (Dipstick)","engine oiling, oil pan and indicator (dipstick)",5-7l-gas-engine--engine-oiling-oil-pan-and-indicator-dipstick,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/5-7l-gas-engine--engine-oiling-oil-pan-and-indicator-dipstick,10,DISCOVERED,2026-07-31T23:48:46+00:00
