node_id,variation_id,parent_node_id,node_type,source_label,normalized_label,source_slug,source_url,ordinal,discovery_status,source_accessed_at
tax-af8af272135f83a93b2d4728,challenger-rt-57-gas,,CATEGORY,3 6L Gas Engine,3-6L-GAS-ENGINE,3-6l-gas-engine,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/#cat-3-6l-gas-engine,2,DISCOVERED,2026-08-01T00:45:41+00:00
tax-0bf5d588f30abab2e9cb04d2,challenger-rt-57-gas,,CATEGORY,5 7L Gas Engine,5-7L-GAS-ENGINE,5-7l-gas-engine,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/#cat-5-7l-gas-engine,12,DISCOVERED,2026-08-01T00:45:41+00:00
tax-6fc0a4e0616973e72ec2bf73,challenger-rt-57-gas,,CATEGORY,5 7Lgas Engine,5-7LGAS-ENGINE,5-7lgas-engine,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/#cat-5-7lgas-engine,22,DISCOVERED,2026-08-01T00:45:41+00:00
tax-ab3af5144be175d90c3058f7,challenger-rt-57-gas,,CATEGORY,6 2L Gas Engine,6-2L-GAS-ENGINE,6-2l-gas-engine,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/#cat-6-2l-gas-engine,28,DISCOVERED,2026-08-01T00:45:41+00:00
tax-b8a82997e9cddd54857da72c,challenger-rt-57-gas,,CATEGORY,6 4L Gas Engine,6-4L-GAS-ENGINE,6-4l-gas-engine,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/#cat-6-4l-gas-engine,34,DISCOVERED,2026-08-01T00:45:41+00:00
tax-e6200b9235cc7ffa188c7d13,challenger-rt-57-gas,,CATEGORY,845Re 8 Speed Automatic Transmission,845RE-8-SPEED-AUTOMATIC-TRANSMISSION,845re-8-speed-automatic-transmission,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/#cat-845re-8-speed-automatic-transmission,39,DISCOVERED,2026-08-01T00:45:41+00:00
tax-a5f2dd43b036dadba37f1480,challenger-rt-57-gas,,CATEGORY,8Hp70 8 Speed Automatic Transmission,8HP70-8-SPEED-AUTOMATIC-TRANSMISSION,8hp70-8-speed-automatic-transmission,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/#cat-8hp70-8-speed-automatic-transmission,45,DISCOVERED,2026-08-01T00:45:41+00:00
tax-c754975022e9e2e5c92b7728,challenger-rt-57-gas,,CATEGORY,8Hp90 8 Speed Automatic Transmission,8HP90-8-SPEED-AUTOMATIC-TRANSMISSION,8hp90-8-speed-automatic-transmission,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/#cat-8hp90-8-speed-automatic-transmission,48,DISCOVERED,2026-08-01T00:45:41+00:00
tax-2750898cd4b22c7fda089ccd,challenger-rt-57-gas,,CATEGORY,Accessories Audio Video And Electronics Accessories,ACCESSORIES-AUDIO-VIDEO-AND-ELECTRONICS-ACCESSORIES,accessories-audio-video-and-electronics-accessories,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/#cat-accessories-audio-video-and-electronics-accessories,50,DISCOVERED,2026-08-01T00:45:41+00:00
tax-06fe3f1df6e294d9bcd9f8b4,challenger-rt-57-gas,,CATEGORY,Accessories Crate Engines,ACCESSORIES-CRATE-ENGINES,accessories-crate-engines,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/#cat-accessories-crate-engines,51,DISCOVERED,2026-08-01T00:45:41+00:00
tax-59254db7e91276cbc2e4bf66,challenger-rt-57-gas,,CATEGORY,Accessories Drag Pak,ACCESSORIES-DRAG-PAK,accessories-drag-pak,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/#cat-accessories-drag-pak,52,DISCOVERED,2026-08-01T00:45:41+00:00
tax-fc5446a329a8f91e53de34bf,challenger-rt-57-gas,,CATEGORY,Accessories Exterior Accessories,ACCESSORIES-EXTERIOR-ACCESSORIES,accessories-exterior-accessories,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/#cat-accessories-exterior-accessories,59,DISCOVERED,2026-08-01T00:45:41+00:00
tax-2b8fc65cbb96a485a0a78154,challenger-rt-57-gas,,CATEGORY,Accessories Interior Accessories,ACCESSORIES-INTERIOR-ACCESSORIES,accessories-interior-accessories,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/#cat-accessories-interior-accessories,63,DISCOVERED,2026-08-01T00:45:41+00:00
tax-a2eeead64ca2482ac8a7d91d,challenger-rt-57-gas,,CATEGORY,Accessories Lifestyle And Off Road Accessories,ACCESSORIES-LIFESTYLE-AND-OFF-ROAD-ACCESSORIES,accessories-lifestyle-and-off-road-accessories,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/#cat-accessories-lifestyle-and-off-road-accessories,64,DISCOVERED,2026-08-01T00:45:41+00:00
