vin,vehicle,category,normalized_part_number,catalog_part_numbers,descriptions,assemblies,part_urls,source_urls,illustration_files
2C3CCAEG4HH586472,2017 Chrysler 300 C 3.6L V6 Gas,air-bags,06030441,06030441,Push Pin,"2:Side Curtain Air Bag, Left",https://www.moparamerica.com/oem-parts/mopar-push-pin-6030441,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-gas/restraints--air-bags?assembly=2,evidence/mopar/illustrations/2C3CCAEG4HH586472/air-bags__assembly-02.png
2C3CDXGJ2HH530684,2017 Dodge Charger R/T Scat Pack 6.4L V8 Gas,air-bags,1ZZ44DX9AH,1ZZ44DX9AH,Bag,3:Passenger Air Bag,https://www.moparamerica.com/oem-parts/mopar-driver-air-bag-1zz44dx9ah,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/restraints--air-bags?assembly=3,evidence/mopar/illustrations/2C3CDXGJ2HH530684/air-bags__assembly-03.png
2C3CCAEG4HH586472,2017 Chrysler 300 C 3.6L V6 Gas,air-bags,5057792AH,5057792AH,Kneeblocker,3:Passenger Air Bag,https://www.moparamerica.com/oem-parts/mopar-steering-column-opening-kneeblocker-5057792ah,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-gas/restraints--air-bags?assembly=3,evidence/mopar/illustrations/2C3CCAEG4HH586472/air-bags__assembly-03.png
2C3CDXGJ2HH530684,2017 Dodge Charger R/T Scat Pack 6.4L V8 Gas,air-bags,5057792AH,5057792AH,Kneeblocker,3:Passenger Air Bag,https://www.moparamerica.com/oem-parts/mopar-steering-column-opening-kneeblocker-5057792ah,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/restraints--air-bags?assembly=3,evidence/mopar/illustrations/2C3CDXGJ2HH530684/air-bags__assembly-03.png
2C3CCAEG4HH586472,2017 Chrysler 300 C 3.6L V6 Gas,air-bags,5108076AF,5108076AF,Right,"2:Side Curtain Air Bag, Left",https://www.moparamerica.com/oem-parts/mopar-seat-air-bag-right-5108076af,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-gas/restraints--air-bags?assembly=2,evidence/mopar/illustrations/2C3CCAEG4HH586472/air-bags__assembly-02.png
2C3CCAEG4HH586472,2017 Chrysler 300 C 3.6L V6 Gas,air-bags,5108077AF,5108077AF,Left,"2:Side Curtain Air Bag, Left",https://www.moparamerica.com/oem-parts/mopar-seat-air-bag-left-5108077af,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-gas/restraints--air-bags?assembly=2,evidence/mopar/illustrations/2C3CCAEG4HH586472/air-bags__assembly-02.png
2C3CCAEG4HH586472,2017 Chrysler 300 C 3.6L V6 Gas,air-bags,56054085AA,56054085AA,Acceleration Sensor | Sensor,1:Screw,https://www.moparamerica.com/oem-parts/mopar-acceleration-sensor-56054085aa,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-gas/restraints--air-bags?assembly=1,evidence/mopar/illustrations/2C3CCAEG4HH586472/air-bags__assembly-01.png
2C3CDXGJ2HH530684,2017 Dodge Charger R/T Scat Pack 6.4L V8 Gas,air-bags,56054085AA,56054085AA,Acceleration Sensor | Front,1:Screw,https://www.moparamerica.com/oem-parts/mopar-acceleration-sensor-56054085aa,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/restraints--air-bags?assembly=1,evidence/mopar/illustrations/2C3CDXGJ2HH530684/air-bags__assembly-01.png
2C3CCAEG4HH586472,2017 Chrysler 300 C 3.6L V6 Gas,air-bags,5LB70DX9AH,5LB70DX9AH,Steering Column Module,1:Screw,https://www.moparamerica.com/oem-parts/mopar-steering-column-module-5lb70dx9ah,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-gas/restraints--air-bags?assembly=1,evidence/mopar/illustrations/2C3CCAEG4HH586472/air-bags__assembly-01.png
2C3CDXGJ2HH530684,2017 Dodge Charger R/T Scat Pack 6.4L V8 Gas,air-bags,5LB70DX9AH,5LB70DX9AH,Module | Steering Column Module,1:Screw,https://www.moparamerica.com/oem-parts/mopar-steering-column-module-5lb70dx9ah,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/restraints--air-bags?assembly=1,evidence/mopar/illustrations/2C3CDXGJ2HH530684/air-bags__assembly-01.png
