category,normalized_part_number,charger_description,chrysler_300_description,charger_catalog_number,chrysler_300_catalog_number,status
air-bags,5057792AH,Kneeblocker,Kneeblocker,5057792AH,5057792AH,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
air-bags,56054085AA,Acceleration Sensor | Front,Acceleration Sensor | Sensor,56054085AA,56054085AA,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
air-bags,5LB70DX9AH,Module | Steering Column Module,Module | Steering Column Module,5LB70DX9AH,5LB70DX9AH,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
air-bags,5LB71DX9AI,Module | Steering Column Module,Module | Steering Column Module,5LB71DX9AI,5LB71DX9AI,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
air-bags,5LB72DX9AH,Module | Steering Column Module,Module | Steering Column Module,5LB72DX9AH,5LB72DX9AH,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
air-bags,6102132AA,Hex Head Screw | Screw,Hex Head Screw | Screw,6102132AA,6102132AA,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
air-bags,6104725AA,Hex Nut | Washer,Hex Nut | Washer,06104725AA | 6104725AA,06104725AA | 6104725AA,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
air-bags,6510026AA,Screw,Screw,6510026AA,6510026AA,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
air-bags,68282914AD,Bag,Bag,68282914AD,68282914AD,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
front-seat-adjusters,1UV50DX9AA,Cover | Track Cover,Rear | Track Cover,1UV50DX9AA,1UV50DX9AA,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
front-seat-adjusters,1UV51DX9AA,Cover | Track Cover,Front | Track Cover,1UV51DX9AA,1UV51DX9AA,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
front-seat-adjusters,1UV72DX9AA,Handle | Recliner Handle,Handle | Recliner Handle,1UV72DX9AA,1UV72DX9AA,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
front-seat-adjusters,1UV75DX9AB,Cover | Front Seat Anchor Bolt Cover,Cover | Front Seat Anchor Bolt Cover,1UV75DX9AB,1UV75DX9AB,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
front-seat-adjusters,1UW25DX9AB,"Cover | Front Seat Anchor Bolt Cover, Left","Cover | Front Seat Anchor Bolt Cover, Left",1UW25DX9AB,1UW25DX9AB,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
front-seat-adjusters,1UY02DX9AC,2011-2021 Mopar Front Seat Back Panel | Panel,2011-2021 Mopar Front Seat Back Panel | Panel,1UY02DX9AC,1UY02DX9AC,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
front-seat-adjusters,1UY08DX9AB,Seat Shield | Shield,Seat Shield | Shield,1UY08DX9AB,1UY08DX9AB,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
front-seat-adjusters,1UY33DX9AC,2011-2020 Mopar Seat Adjuster Shield | Shield,2011-2020 Mopar Seat Adjuster Shield | Shield,1UY33DX9AC,1UY33DX9AC,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
front-seat-adjusters,1UZ62DX9AC,2011-2021 Mopar Seat Adjuster Shield | Shield,2011-2021 Mopar Seat Adjuster Shield | Shield,1UZ62DX9AC,1UZ62DX9AC,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
front-seat-adjusters,55057389AD,Blower | Seat Back Blower,Blower | Seat Back Blower,55057389AD,55057389AD,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
front-seat-adjusters,6507594AA,Hex Head Screw | Screw,Hex Head Screw,6507594AA,6507594AA,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
front-seat-adjusters,68102980AA,Airbag Chute | Chute,Airbag Chute,68102980AA,68102980AA,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
front-seat-adjusters,68103691AA,Airbag Chute | Chute,Airbag Chute,68103691AA,68103691AA,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
front-seat-adjusters,68103696AA,Frame | Front Seat Back Frame,Frame | Front Seat Back Frame,68103696AA,68103696AA,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
front-seat-adjusters,68104427AA,Frame | Front Seat Back Frame,Frame | Front Seat Back Frame,68104427AA,68104427AA,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
front-seat-adjusters,68104489AA,Frame | Front Seat Back Frame,Frame | Front Seat Back Frame,68104489AA,68104489AA,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
front-seat-adjusters,68157098AA,Bracket | Seat Bracket,Bracket | Seat Bracket,68157098AA,68157098AA,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
front-seat-adjusters,68157292AA,Front | Seat Bracket,Bracket | Seat Bracket,68157292AA,68157292AA,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
front-seat-adjusters,68157294AA,Rear | Seat Bracket,Bracket | Seat Bracket,68157294AA,68157294AA,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
front-seat-adjusters,68159137AA,Frame | Front Seat Back Frame,Frame | Front Seat Back Frame,68159137AA,68159137AA,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
front-seat-adjusters,68159139AA,Frame | Front Seat Back Frame,Frame | Front Seat Back Frame,68159139AA,68159139AA,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
front-seat-adjusters,68159141AA,Bracket | Seat Bracket,Bracket | Seat Bracket,68159141AA,68159141AA,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
front-seat-adjusters,68193458AC,2013-2021 Mopar Manual Seat Adjuster | Adjuster,2013-2021 Mopar Manual Seat Adjuster | Adjuster,68193458AC,68193458AC,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
front-seat-adjusters,68193460AC,Adjuster | Power Seat Adjuster,Adjuster | Power Seat Adjuster,68193460AC,68193460AC,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
front-seat-adjusters,68193462AC,2013-2020 Mopar Power Seat Adjuster | Adjuster,2013-2020 Mopar Power Seat Adjuster | Adjuster,68193462AC,68193462AC,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
front-seat-adjusters,68264615AB,Adjuster | Power Seat Adjuster,Adjuster | Power Seat Adjuster,68264615AB,68264615AB,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
front-seat-adjusters,68264619AB,2015-2021 Mopar Power Seat Adjuster | Adjuster,2015-2021 Mopar Power Seat Adjuster | Adjuster,68264619AB,68264619AB,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
front-seat-adjusters,68306763AA,Blower | Seat Cushion Blower,Blower | Seat Cushion Blower,68306763AA,68306763AA,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
instrument-panel,1JN63DX9AF,2011-2021 Mopar Steering Column Opening Kneeblocker | Kneeblocker,2011-2021 Mopar Steering Column Opening Kneeblocker | Kneeblocker,1JN63DX9AF,1JN63DX9AF,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
instrument-panel,1JQ67DX9AL,Defroster Grille | Grille,Defroster Grille | Grille,1JQ67DX9AL,1JQ67DX9AL,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
instrument-panel,1QD23DX9AF,"Instrument Panel End Cap, Left | Left","Instrument Panel End Cap, Left | Left",1QD23DX9AF,1QD23DX9AF,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
instrument-panel,1QF13DX9AP,2011-2021 Mopar Instrument Panel Glove Box | Box,2011-2021 Mopar Instrument Panel Glove Box | Box,1QF13DX9AP,1QF13DX9AP,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
instrument-panel,4746315,Console Lock Cylinder,Console Lock Cylinder | Cylinder,4746315,4746315,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
instrument-panel,5108264AB,"Instrument Panel Closeout Panel, Left, Outboard | Left","Instrument Panel Closeout Panel, Left, Outboard",5108264AB,5108264AB,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
instrument-panel,5257132AB,Number 1 Tumbler,Number 1 Tumbler,5257132AB,5257132AB,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
instrument-panel,5257133AB,Number 2 Tumbler,Number 2 Tumbler,5257133AB,5257133AB,COMMON CATALOG CANDIDATE — not proof of VIN-installed configuration
