vin,category,normalized_part_number,descriptions,status
2C3CDXGJ2HH530684,air-bags,1ZZ44DX9AH,Bag,SINGLE-CATALOG CANDIDATE — may reflect option/trim/colour/supersession differences
2C3CDXGJ2HH530684,air-bags,5LB73DX9AH,Module | Steering Column Module,SINGLE-CATALOG CANDIDATE — may reflect option/trim/colour/supersession differences
2C3CDXGJ2HH530684,air-bags,68530280AA,Module | Occupant Restraint Module,SINGLE-CATALOG CANDIDATE — may reflect option/trim/colour/supersession differences
2C3CCAEG4HH586472,air-bags,06030441,Push Pin,SINGLE-CATALOG CANDIDATE — may reflect option/trim/colour/supersession differences
2C3CCAEG4HH586472,air-bags,5108076AF,Right,SINGLE-CATALOG CANDIDATE — may reflect option/trim/colour/supersession differences
2C3CCAEG4HH586472,air-bags,5108077AF,Left,SINGLE-CATALOG CANDIDATE — may reflect option/trim/colour/supersession differences
2C3CCAEG4HH586472,air-bags,5LB70LC5AF,Steering Column Module,SINGLE-CATALOG CANDIDATE — may reflect option/trim/colour/supersession differences
2C3CCAEG4HH586472,air-bags,5LB71LC5AI,Module | Steering Column Module,SINGLE-CATALOG CANDIDATE — may reflect option/trim/colour/supersession differences
2C3CCAEG4HH586472,air-bags,5LB72LC5AH,Module | Steering Column Module,SINGLE-CATALOG CANDIDATE — may reflect option/trim/colour/supersession differences
2C3CCAEG4HH586472,air-bags,5PP65DX9AE,Bag,SINGLE-CATALOG CANDIDATE — may reflect option/trim/colour/supersession differences
2C3CCAEG4HH586472,air-bags,5PP65LC5AE,Bag,SINGLE-CATALOG CANDIDATE — may reflect option/trim/colour/supersession differences
2C3CCAEG4HH586472,air-bags,6030441,Pin,SINGLE-CATALOG CANDIDATE — may reflect option/trim/colour/supersession differences
2C3CCAEG4HH586472,air-bags,6105038AA,Bolt | Hex Flange Head Bolt,SINGLE-CATALOG CANDIDATE — may reflect option/trim/colour/supersession differences
2C3CCAEG4HH586472,air-bags,6507559AA,Bumper Nut | U-nut,SINGLE-CATALOG CANDIDATE — may reflect option/trim/colour/supersession differences
2C3CCAEG4HH586472,air-bags,6508182AA,Hex Head Screw And Washer | Washer,SINGLE-CATALOG CANDIDATE — may reflect option/trim/colour/supersession differences
2C3CCAEG4HH586472,air-bags,68036991AA,Plate | Tapping Plate,SINGLE-CATALOG CANDIDATE — may reflect option/trim/colour/supersession differences
2C3CCAEG4HH586472,air-bags,68038976AD,2011-2020 Chrysler 300 - Side Air Bag Support Right | Right,SINGLE-CATALOG CANDIDATE — may reflect option/trim/colour/supersession differences
2C3CCAEG4HH586472,air-bags,68038977AD,2011-2020 Chrysler 300 - Side Air Bag Support Left | Left,SINGLE-CATALOG CANDIDATE — may reflect option/trim/colour/supersession differences
2C3CCAEG4HH586472,air-bags,68222742AH,Right,SINGLE-CATALOG CANDIDATE — may reflect option/trim/colour/supersession differences
2C3CCAEG4HH586472,air-bags,68222743AG,Left,SINGLE-CATALOG CANDIDATE — may reflect option/trim/colour/supersession differences
2C3CCAEG4HH586472,air-bags,6MK181X9AD,Bag,SINGLE-CATALOG CANDIDATE — may reflect option/trim/colour/supersession differences
2C3CDXGJ2HH530684,front-seat-adjusters,1UV73DX9AA,Handle | Recliner Handle,SINGLE-CATALOG CANDIDATE — may reflect option/trim/colour/supersession differences
2C3CDXGJ2HH530684,front-seat-adjusters,1UW21DX9AC,Seat Adjuster Shield | Shield,SINGLE-CATALOG CANDIDATE — may reflect option/trim/colour/supersession differences
2C3CDXGJ2HH530684,front-seat-adjusters,1UZ63DX9AC,2011-2021 Mopar Seat Adjuster Shield | Shield,SINGLE-CATALOG CANDIDATE — may reflect option/trim/colour/supersession differences
2C3CDXGJ2HH530684,front-seat-adjusters,68102131AA,Frame | Front Seat Back Frame,SINGLE-CATALOG CANDIDATE — may reflect option/trim/colour/supersession differences
2C3CDXGJ2HH530684,front-seat-adjusters,68104960AA,Seat Bolt,SINGLE-CATALOG CANDIDATE — may reflect option/trim/colour/supersession differences
2C3CDXGJ2HH530684,front-seat-adjusters,68104961AA,Nut,SINGLE-CATALOG CANDIDATE — may reflect option/trim/colour/supersession differences
2C3CDXGJ2HH530684,front-seat-adjusters,68334702AB,Adjuster | Manual Seat Adjuster,SINGLE-CATALOG CANDIDATE — may reflect option/trim/colour/supersession differences
2C3CDXGJ2HH530684,front-seat-adjusters,68334704AA,Frame | Front Seat Back Frame,SINGLE-CATALOG CANDIDATE — may reflect option/trim/colour/supersession differences
2C3CCAEG4HH586472,front-seat-adjusters,1UV50LC5AA,"Rear | Track Cover, Rear",SINGLE-CATALOG CANDIDATE — may reflect option/trim/colour/supersession differences
2C3CCAEG4HH586472,front-seat-adjusters,1UV51LC5AA,"Front | Track Cover, Front",SINGLE-CATALOG CANDIDATE — may reflect option/trim/colour/supersession differences
2C3CCAEG4HH586472,front-seat-adjusters,1UV75LC5AB,"Cover | Front Seat Anchor Bolt Cover, Right",SINGLE-CATALOG CANDIDATE — may reflect option/trim/colour/supersession differences
