model,trim,slug,category,source_url,normalized_part_number,part_number,description,detail,part_url
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,68184930AA,68184930AA,"Door Handle Bracket, Right",Inside Release.,https://www.moparamerica.com/oem-parts/mopar-door-handle-bracket-right-68184930aa
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,68195666AA,68195666AA,Window Motor Screw,,https://www.moparamerica.com/oem-parts/mopar-window-motor-screw-68195666aa
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,68184931AA,68184931AA,"Door Handle Bracket, Left",Inside Release.,https://www.moparamerica.com/oem-parts/mopar-door-handle-bracket-left-68184931aa
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,55276821AA,55276821AA,Round Black Tape,Front Door Mirror Flag. Latch Adjustment Hole. O/S Handle Attach Access Hole. Pinch Sensor Holes. Door Handle Access Hole. Latch Adjustment Plug. A-Pillar Door Inner Panel 19mm Diameter. Drain Hole Patch.,https://www.moparamerica.com/oem-parts/mopar-round-black-tape-55276821aa
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ84KBXAM,1MZ84KBXAM,"Front Door Exterior Handle, Right",FRONT DOOR EXTERIOR,https://www.moparamerica.com/oem-parts/mopar-front-door-exterior-handle-right-1mz84kbxam
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ85RY4AM,1MZ85RY4AM,"Front Door Exterior Handle, Left",,https://www.moparamerica.com/oem-parts/mopar-front-door-exterior-handle-left-1mz85ry4am
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ85PDNAM,1MZ85PDNAM,2014-2021 Mopar Front Door Exterior Handle Left,,https://www.moparamerica.com/oem-parts/mopar-2014-2021-mopar-front-door-exterior-handle-left-1mz85pdnam
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ84MGMAM,1MZ84MGMAM,"Front Door Exterior Handle, Right",,https://www.moparamerica.com/oem-parts/mopar-front-door-exterior-handle-right-1mz84mgmam
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ85JRYAM,1MZ85JRYAM,"Front Door Exterior Handle, Left",FRONT DOOR EXTERIOR,https://www.moparamerica.com/oem-parts/mopar-front-door-exterior-handle-left-1mz85jryam
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ84KARAM,1MZ84KARAM,2011-2021 Mopar Front Door Exterior Handle Right,FRONT DOOR EXTERIOR,https://www.moparamerica.com/oem-parts/mopar-2011-2021-mopar-front-door-exterior-handle-right-1mz84karam
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ85NRVAM,1MZ85NRVAM,2020 2021 Dodge Challenger - Front Door Exterior Handle Left,,https://www.moparamerica.com/oem-parts/mopar-2020-2021-dodge-challenger-front-door-exterior-handle-left-1mz85nrvam
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ85KARAM,1MZ85KARAM,2011-2021 Mopar Front Door Exterior Handle Left,FRONT DOOR EXTERIOR,https://www.moparamerica.com/oem-parts/mopar-2011-2021-mopar-front-door-exterior-handle-left-1mz85karam
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ85MGMAJ,1MZ85MGMAJ,"Front Door Exterior Handle, Left",,https://www.moparamerica.com/oem-parts/mopar-front-door-exterior-handle-left-1mz85mgmaj
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ84DX8AM,1MZ84DX8AM,2013-2021 Mopar Front Door Exterior Handle Right,FRONT DOOR EXTERIOR,https://www.moparamerica.com/oem-parts/mopar-2013-2021-mopar-front-door-exterior-handle-right-1mz84dx8am
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ85JSCAM,1MZ85JSCAM,2011-2021 Mopar Front Door Exterior Handle Left,FRONT DOOR EXTERIOR,https://www.moparamerica.com/oem-parts/mopar-2011-2021-mopar-front-door-exterior-handle-left-1mz85jscam
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ85KBXAM,1MZ85KBXAM,2013-2018 Mopar Front Door Exterior Handle Left,FRONT DOOR EXTERIOR,https://www.moparamerica.com/oem-parts/mopar-2013-2018-mopar-front-door-exterior-handle-left-1mz85kbxam
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ84RY4AM,1MZ84RY4AM,"Front Door Exterior Handle, Right",,https://www.moparamerica.com/oem-parts/mopar-front-door-exterior-handle-right-1mz84ry4am
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ84GW7AM,1MZ84GW7AM,2020 2021 Dodge Challenger - Front Door Exterior Handle Right,FRONT DOOR EXTERIOR,https://www.moparamerica.com/oem-parts/mopar-2020-2021-dodge-challenger-front-door-exterior-handle-right-1mz84gw7am
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ84NRVAM,1MZ84NRVAM,2014-2021 Mopar Front Door Exterior Handle Right,,https://www.moparamerica.com/oem-parts/mopar-2014-2021-mopar-front-door-exterior-handle-right-1mz84nrvam
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ84JRYAJ,1MZ84JRYAJ,"Front Door Exterior Handle, Right",FRONT DOOR EXTERIOR,https://www.moparamerica.com/oem-parts/mopar-front-door-exterior-handle-right-1mz84jryaj
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ84JSCAJ,1MZ84JSCAJ,"Front Door Exterior Handle, Right",,https://www.moparamerica.com/oem-parts/mopar-front-door-exterior-handle-right-1mz84jscaj
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ84ZR3AM,1MZ84ZR3AM,2013-2021 Mopar Front Door Exterior Handle Right,FRONT DOOR EXTERIOR,https://www.moparamerica.com/oem-parts/mopar-2013-2021-mopar-front-door-exterior-handle-right-1mz84zr3am
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ85DX8AM,1MZ85DX8AM,2013-2021 Mopar Front Door Exterior Handle Left,FRONT DOOR EXTERIOR,https://www.moparamerica.com/oem-parts/mopar-2013-2021-mopar-front-door-exterior-handle-left-1mz85dx8am
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ85NVPAM,1MZ85NVPAM,2015-2021 Mopar Front Door Exterior Handle Left,FRONT DOOR EXTERIOR,https://www.moparamerica.com/oem-parts/mopar-2015-2021-mopar-front-door-exterior-handle-left-1mz85nvpam
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ84NVPAM,1MZ84NVPAM,2020 2021 Dodge Challenger - Front Door Exterior Handle Right,FRONT DOOR EXTERIOR,https://www.moparamerica.com/oem-parts/mopar-2020-2021-dodge-challenger-front-door-exterior-handle-right-1mz84nvpam
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ84LAUAM,1MZ84LAUAM,2013-2021 Mopar Front Door Exterior Handle Right,FRONT DOOR EXTERIOR,https://www.moparamerica.com/oem-parts/mopar-2013-2021-mopar-front-door-exterior-handle-right-1mz84lauam
