model,trim,slug,assembly,title,source_url,illustration_url,illustration_file,status,bytes,sha256
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,1,Body Panel Deadener,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door?assembly=1,https://cdn-illustrations.revolutionparts.io/strapr1/ffa878f6585d4460e417dee802897804/568f5d8d993db2e0d97e821408f4a7f3.png,evidence/mopar/door_variants/illustrations/Challenger_SXT_3.6L/assembly-01.png,downloaded,89234,54d59cc0020cc1afe07f24bed3b3f14fdacf6611013c496511ef07c9254c5ff1
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,2,Tapping Plate,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door?assembly=2,https://cdn-illustrations.revolutionparts.io/strapr1/d27954c65a1cbed6a8373c9a45279b07/66c5750ef9ae87c15e9b42e58fb3bc7f.png,evidence/mopar/door_variants/illustrations/Challenger_SXT_3.6L/assembly-02.png,downloaded,66789,73af1756d26f390a97e5e5000c29df66728666c17f3bde87c9819a70cf895039
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,3,Door Lock Cylinder,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door?assembly=3,https://cdn-illustrations.revolutionparts.io/strapr1/4637499c34af5873c9d2012ab28ebe4f/f62c40739035f97a59698a6b860dad13.png,evidence/mopar/door_variants/illustrations/Challenger_SXT_3.6L/assembly-03.png,downloaded,16376,73ca05979c2f38140ac0dbc42c886ce30c326546162478667420627d450e64e8
Challenger,R/T 5.7L,v-2017-dodge-challenger--r-t--5-7l-v8-gas,1,"Door Handle Bracket, Right",https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door?assembly=1,https://cdn-illustrations.revolutionparts.io/strapr1/ffa878f6585d4460e417dee802897804/568f5d8d993db2e0d97e821408f4a7f3.png,evidence/mopar/door_variants/illustrations/Challenger_R-T_5.7L/assembly-01.png,downloaded,89234,54d59cc0020cc1afe07f24bed3b3f14fdacf6611013c496511ef07c9254c5ff1
Challenger,R/T 5.7L,v-2017-dodge-challenger--r-t--5-7l-v8-gas,2,Tapping Plate,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door?assembly=2,https://cdn-illustrations.revolutionparts.io/strapr1/d27954c65a1cbed6a8373c9a45279b07/66c5750ef9ae87c15e9b42e58fb3bc7f.png,evidence/mopar/door_variants/illustrations/Challenger_R-T_5.7L/assembly-02.png,downloaded,66789,73af1756d26f390a97e5e5000c29df66728666c17f3bde87c9819a70cf895039
Challenger,R/T 5.7L,v-2017-dodge-challenger--r-t--5-7l-v8-gas,3,Door Lock Cylinder,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door?assembly=3,https://cdn-illustrations.revolutionparts.io/strapr1/4637499c34af5873c9d2012ab28ebe4f/f62c40739035f97a59698a6b860dad13.png,evidence/mopar/door_variants/illustrations/Challenger_R-T_5.7L/assembly-03.png,downloaded,16376,73ca05979c2f38140ac0dbc42c886ce30c326546162478667420627d450e64e8
Challenger,R/T Scat Pack 6.4L,v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas,1,"Door Handle Bracket, Right",https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door?assembly=1,https://cdn-illustrations.revolutionparts.io/strapr1/ffa878f6585d4460e417dee802897804/568f5d8d993db2e0d97e821408f4a7f3.png,evidence/mopar/door_variants/illustrations/Challenger_R-T_Scat_Pack_6.4L/assembly-01.png,downloaded,89234,54d59cc0020cc1afe07f24bed3b3f14fdacf6611013c496511ef07c9254c5ff1
Challenger,R/T Scat Pack 6.4L,v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas,2,Tapping Plate,https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door?assembly=2,https://cdn-illustrations.revolutionparts.io/strapr1/d27954c65a1cbed6a8373c9a45279b07/66c5750ef9ae87c15e9b42e58fb3bc7f.png,evidence/mopar/door_variants/illustrations/Challenger_R-T_Scat_Pack_6.4L/assembly-02.png,downloaded,66789,73af1756d26f390a97e5e5000c29df66728666c17f3bde87c9819a70cf895039
Challenger,R/T Scat Pack 6.4L,v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas,3,Door Lock Cylinder,https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door?assembly=3,https://cdn-illustrations.revolutionparts.io/strapr1/4637499c34af5873c9d2012ab28ebe4f/f62c40739035f97a59698a6b860dad13.png,evidence/mopar/door_variants/illustrations/Challenger_R-T_Scat_Pack_6.4L/assembly-03.png,downloaded,16376,73ca05979c2f38140ac0dbc42c886ce30c326546162478667420627d450e64e8
Challenger,SRT 392 6.4L,v-2017-dodge-challenger--srt-392--6-4l-v8-gas,1,Round Black Tape,https://www.moparamerica.com/v-2017-dodge-challenger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door?assembly=1,https://cdn-illustrations.revolutionparts.io/strapr1/ffa878f6585d4460e417dee802897804/568f5d8d993db2e0d97e821408f4a7f3.png,evidence/mopar/door_variants/illustrations/Challenger_SRT_392_6.4L/assembly-01.png,downloaded,89234,54d59cc0020cc1afe07f24bed3b3f14fdacf6611013c496511ef07c9254c5ff1
Challenger,SRT 392 6.4L,v-2017-dodge-challenger--srt-392--6-4l-v8-gas,2,Tapping Plate,https://www.moparamerica.com/v-2017-dodge-challenger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door?assembly=2,https://cdn-illustrations.revolutionparts.io/strapr1/d27954c65a1cbed6a8373c9a45279b07/66c5750ef9ae87c15e9b42e58fb3bc7f.png,evidence/mopar/door_variants/illustrations/Challenger_SRT_392_6.4L/assembly-02.png,downloaded,66789,73af1756d26f390a97e5e5000c29df66728666c17f3bde87c9819a70cf895039
Challenger,SRT 392 6.4L,v-2017-dodge-challenger--srt-392--6-4l-v8-gas,3,Door Lock Cylinder,https://www.moparamerica.com/v-2017-dodge-challenger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door?assembly=3,https://cdn-illustrations.revolutionparts.io/strapr1/4637499c34af5873c9d2012ab28ebe4f/f62c40739035f97a59698a6b860dad13.png,evidence/mopar/door_variants/illustrations/Challenger_SRT_392_6.4L/assembly-03.png,downloaded,16376,73ca05979c2f38140ac0dbc42c886ce30c326546162478667420627d450e64e8
Charger,R/T 5.7L,v-2017-dodge-charger--r-t--5-7l-v8-gas,1,"Inside Remote Control Handle, Right",https://www.moparamerica.com/v-2017-dodge-charger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door?assembly=1,https://cdn-illustrations.revolutionparts.io/strapr1/176e5279479f0ddad008f12949e2e014/3688254738cc5865e060d392596b9fa3.png,evidence/mopar/door_variants/illustrations/Charger_R-T_5.7L/assembly-01.png,downloaded,84703,d1a16e15150ce71caf000e4d7602deb72d3050e9adb6d7875286d1ff6dfe634d
Charger,R/T 5.7L,v-2017-dodge-charger--r-t--5-7l-v8-gas,2,Hex Flange Lock Nut,https://www.moparamerica.com/v-2017-dodge-charger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door?assembly=2,https://cdn-illustrations.revolutionparts.io/strapr1/b1c50b5124a719704e289d5f14491f7e/0e365e66be1c9a6e9917b778d8a72ec8.png,evidence/mopar/door_variants/illustrations/Charger_R-T_5.7L/assembly-02.png,downloaded,65678,a03073289134a7cf64d277e356a5118d6d05d6f3c47c1af0a08be1762eee2bad
Charger,R/T 5.7L,v-2017-dodge-charger--r-t--5-7l-v8-gas,3,Door Lock Cylinder,https://www.moparamerica.com/v-2017-dodge-charger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door?assembly=3,https://cdn-illustrations.revolutionparts.io/strapr1/5512ddd0f4eff228e226bac5f9a93d1b/32266693aa703496a97fd2c79755f6a2.png,evidence/mopar/door_variants/illustrations/Charger_R-T_5.7L/assembly-03.png,downloaded,17146,e6c67f7607e7b095a1f8607c84a936fb48811d8ca02674b5d6ebde52c49d09b2
Charger,R/T Scat Pack 6.4L,v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas,1,Round Black Tape,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door?assembly=1,https://cdn-illustrations.revolutionparts.io/strapr1/176e5279479f0ddad008f12949e2e014/3688254738cc5865e060d392596b9fa3.png,evidence/mopar/door_variants/illustrations/Charger_R-T_Scat_Pack_6.4L/assembly-01.png,downloaded,84703,d1a16e15150ce71caf000e4d7602deb72d3050e9adb6d7875286d1ff6dfe634d
Charger,R/T Scat Pack 6.4L,v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas,2,Door Latch Striker Spacer,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door?assembly=2,https://cdn-illustrations.revolutionparts.io/strapr1/b1c50b5124a719704e289d5f14491f7e/0e365e66be1c9a6e9917b778d8a72ec8.png,evidence/mopar/door_variants/illustrations/Charger_R-T_Scat_Pack_6.4L/assembly-02.png,downloaded,65678,a03073289134a7cf64d277e356a5118d6d05d6f3c47c1af0a08be1762eee2bad
Charger,R/T Scat Pack 6.4L,v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas,3,Door Lock Cylinder,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door?assembly=3,https://cdn-illustrations.revolutionparts.io/strapr1/5512ddd0f4eff228e226bac5f9a93d1b/32266693aa703496a97fd2c79755f6a2.png,evidence/mopar/door_variants/illustrations/Charger_R-T_Scat_Pack_6.4L/assembly-03.png,downloaded,17146,e6c67f7607e7b095a1f8607c84a936fb48811d8ca02674b5d6ebde52c49d09b2
Charger,SRT 392 6.4L,v-2017-dodge-charger--srt-392--6-4l-v8-gas,1,Access Door Trim Cover,https://www.moparamerica.com/v-2017-dodge-charger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door?assembly=1,https://cdn-illustrations.revolutionparts.io/strapr1/176e5279479f0ddad008f12949e2e014/3688254738cc5865e060d392596b9fa3.png,evidence/mopar/door_variants/illustrations/Charger_SRT_392_6.4L/assembly-01.png,downloaded,84703,d1a16e15150ce71caf000e4d7602deb72d3050e9adb6d7875286d1ff6dfe634d
Charger,SRT 392 6.4L,v-2017-dodge-charger--srt-392--6-4l-v8-gas,2,Door Bumper,https://www.moparamerica.com/v-2017-dodge-charger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door?assembly=2,https://cdn-illustrations.revolutionparts.io/strapr1/b1c50b5124a719704e289d5f14491f7e/0e365e66be1c9a6e9917b778d8a72ec8.png,evidence/mopar/door_variants/illustrations/Charger_SRT_392_6.4L/assembly-02.png,downloaded,65678,a03073289134a7cf64d277e356a5118d6d05d6f3c47c1af0a08be1762eee2bad
Charger,SRT 392 6.4L,v-2017-dodge-charger--srt-392--6-4l-v8-gas,3,Door Lock Cylinder,https://www.moparamerica.com/v-2017-dodge-charger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door?assembly=3,https://cdn-illustrations.revolutionparts.io/strapr1/5512ddd0f4eff228e226bac5f9a93d1b/32266693aa703496a97fd2c79755f6a2.png,evidence/mopar/door_variants/illustrations/Charger_SRT_392_6.4L/assembly-03.png,downloaded,17146,e6c67f7607e7b095a1f8607c84a936fb48811d8ca02674b5d6ebde52c49d09b2
