normalized_part_number,descriptions,challenger_variants,charger_variants,classification
1MZ84DX8AM,2013-2021 Mopar Front Door Exterior Handle Right | Right,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,EXACT SHARED DOOR-CONTROL-RELATED PART; not a latch/hinge retention part
1MZ84GW7AM,2020 2021 Dodge Challenger - Front Door Exterior Handle Right,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,EXACT SHARED DOOR-CONTROL-RELATED PART; not a latch/hinge retention part
1MZ84JRYAJ,"Front Door Exterior Handle, Right | Right",R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,EXACT SHARED DOOR-CONTROL-RELATED PART; not a latch/hinge retention part
1MZ84JSCAJ,"Front Door Exterior Handle, Right | Right",R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,EXACT SHARED DOOR-CONTROL-RELATED PART; not a latch/hinge retention part
1MZ84KARAM,2011-2021 Mopar Front Door Exterior Handle Right | Right,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,EXACT SHARED DOOR-CONTROL-RELATED PART; not a latch/hinge retention part
1MZ84KBXAM,"Front Door Exterior Handle, Right | Right",R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,EXACT SHARED DOOR-CONTROL-RELATED PART; not a latch/hinge retention part
1MZ84LAUAM,2013-2021 Mopar Front Door Exterior Handle Right | Right,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,EXACT SHARED DOOR-CONTROL-RELATED PART; not a latch/hinge retention part
1MZ84MGMAM,"Front Door Exterior Handle, Right | Right",R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,EXACT SHARED DOOR-CONTROL-RELATED PART; not a latch/hinge retention part
1MZ84NRVAM,2014-2021 Mopar Front Door Exterior Handle Right,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,EXACT SHARED DOOR-CONTROL-RELATED PART; not a latch/hinge retention part
1MZ84NVPAM,2020 2021 Dodge Challenger - Front Door Exterior Handle Right | Right,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,EXACT SHARED DOOR-CONTROL-RELATED PART; not a latch/hinge retention part
1MZ84PDNAM,2014-2021 Mopar Front Door Exterior Handle Right,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,EXACT SHARED DOOR-CONTROL-RELATED PART; not a latch/hinge retention part
1MZ84RY4AM,"Front Door Exterior Handle, Right | Right",R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,EXACT SHARED DOOR-CONTROL-RELATED PART; not a latch/hinge retention part
1MZ84ZR3AM,2013-2021 Mopar Front Door Exterior Handle Right,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,EXACT SHARED DOOR-CONTROL-RELATED PART; not a latch/hinge retention part
1MZ85DX8AM,2013-2021 Mopar Front Door Exterior Handle Left | Left,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,EXACT SHARED DOOR-CONTROL-RELATED PART; not a latch/hinge retention part
1MZ85GW7AM,2020 2021 Dodge Challenger - Front Door Exterior Handle Left | Left,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,EXACT SHARED DOOR-CONTROL-RELATED PART; not a latch/hinge retention part
1MZ85JRYAM,"Front Door Exterior Handle, Left | Left",R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,EXACT SHARED DOOR-CONTROL-RELATED PART; not a latch/hinge retention part
1MZ85JSCAM,2011-2021 Mopar Front Door Exterior Handle Left | Left,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,EXACT SHARED DOOR-CONTROL-RELATED PART; not a latch/hinge retention part
1MZ85KARAM,2011-2021 Mopar Front Door Exterior Handle Left | Left,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,EXACT SHARED DOOR-CONTROL-RELATED PART; not a latch/hinge retention part
1MZ85KBXAM,2013-2018 Mopar Front Door Exterior Handle Left,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,EXACT SHARED DOOR-CONTROL-RELATED PART; not a latch/hinge retention part
1MZ85LAUAM,2013-2021 Mopar Front Door Exterior Handle Left | Left,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,EXACT SHARED DOOR-CONTROL-RELATED PART; not a latch/hinge retention part
1MZ85MGMAJ,"Front Door Exterior Handle, Left | Left",R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,EXACT SHARED DOOR-CONTROL-RELATED PART; not a latch/hinge retention part
1MZ85NRVAM,2020 2021 Dodge Challenger - Front Door Exterior Handle Left | Left,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,EXACT SHARED DOOR-CONTROL-RELATED PART; not a latch/hinge retention part
1MZ85NVPAM,2015-2021 Mopar Front Door Exterior Handle Left | Left,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,EXACT SHARED DOOR-CONTROL-RELATED PART; not a latch/hinge retention part
1MZ85PDNAM,2014-2021 Mopar Front Door Exterior Handle Left | Left,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,EXACT SHARED DOOR-CONTROL-RELATED PART; not a latch/hinge retention part
1MZ85RY4AM,"Front Door Exterior Handle, Left | Left",R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,EXACT SHARED DOOR-CONTROL-RELATED PART; not a latch/hinge retention part
1MZ85ZR3AM,2013-2021 Mopar Front Door Exterior Handle Left | Left,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,EXACT SHARED DOOR-CONTROL-RELATED PART; not a latch/hinge retention part
