model,trim,slug,category,source_url,normalized_part_number,part_number,description,detail,part_url
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,68174640AH,68174640AH,"Front Door Latch, Right",FRONT DOOR,https://www.moparamerica.com/oem-parts/mopar-front-door-latch-right-68174640ah
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,68174641AH,68174641AH,"Front Door Latch, Left",FRONT DOOR,https://www.moparamerica.com/oem-parts/mopar-front-door-latch-left-68174641ah
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,6036651AA,6036651AA,Tapping Screw,M6.3x1.8x38.1. Latch.,https://www.moparamerica.com/oem-parts/mopar-tapping-screw-6036651aa
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,68066169AA,68066169AA,Key Cylinder To Latch Link,,https://www.moparamerica.com/oem-parts/mopar-key-cylinder-to-latch-link-68066169aa
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,5UV45SZ6AB,5UV45SZ6AB,"Door Latch Knob And Link, Left",,https://www.moparamerica.com/oem-parts/mopar-door-latch-knob-and-link-left-5uv45sz6ab
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,5UV44SZ6AB,5UV44SZ6AB,"Door Latch Knob And Link, Right",,https://www.moparamerica.com/oem-parts/mopar-door-latch-knob-and-link-right-5uv44sz6ab
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,68185764AD,68185764AD,"Inside Handle To Latch Cable, Right",Front Door.,https://www.moparamerica.com/oem-parts/mopar-inside-handle-to-latch-cable-right-68185764ad
Challenger,R/T 5.7L,v-2017-dodge-challenger--r-t--5-7l-v8-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door,68174640AH,68174640AH,"Front Door Latch, Right",FRONT DOOR,https://www.moparamerica.com/oem-parts/mopar-front-door-latch-right-68174640ah
Challenger,R/T 5.7L,v-2017-dodge-challenger--r-t--5-7l-v8-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door,68174641AH,68174641AH,"Front Door Latch, Left",FRONT DOOR,https://www.moparamerica.com/oem-parts/mopar-front-door-latch-left-68174641ah
Challenger,R/T 5.7L,v-2017-dodge-challenger--r-t--5-7l-v8-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door,6036651AA,6036651AA,Tapping Screw,M6.3x1.8x38.1. Latch.,https://www.moparamerica.com/oem-parts/mopar-tapping-screw-6036651aa
Challenger,R/T 5.7L,v-2017-dodge-challenger--r-t--5-7l-v8-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door,68066169AA,68066169AA,Key Cylinder To Latch Link,,https://www.moparamerica.com/oem-parts/mopar-key-cylinder-to-latch-link-68066169aa
Challenger,R/T 5.7L,v-2017-dodge-challenger--r-t--5-7l-v8-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door,5UV45SZ6AB,5UV45SZ6AB,"Door Latch Knob And Link, Left",,https://www.moparamerica.com/oem-parts/mopar-door-latch-knob-and-link-left-5uv45sz6ab
Challenger,R/T 5.7L,v-2017-dodge-challenger--r-t--5-7l-v8-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door,5UV44SZ6AB,5UV44SZ6AB,"Door Latch Knob And Link, Right",,https://www.moparamerica.com/oem-parts/mopar-door-latch-knob-and-link-right-5uv44sz6ab
Challenger,R/T 5.7L,v-2017-dodge-challenger--r-t--5-7l-v8-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door,68185764AD,68185764AD,"Inside Handle To Latch Cable, Right",Front Door.,https://www.moparamerica.com/oem-parts/mopar-inside-handle-to-latch-cable-right-68185764ad
Challenger,R/T Scat Pack 6.4L,v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door,68174641AH,68174641AH,"Front Door Latch, Left",FRONT DOOR,https://www.moparamerica.com/oem-parts/mopar-front-door-latch-left-68174641ah
Challenger,R/T Scat Pack 6.4L,v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door,68174640AH,68174640AH,"Front Door Latch, Right",FRONT DOOR,https://www.moparamerica.com/oem-parts/mopar-front-door-latch-right-68174640ah
Challenger,R/T Scat Pack 6.4L,v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door,6036651AA,6036651AA,Tapping Screw,M6.3x1.8x38.1. Latch.,https://www.moparamerica.com/oem-parts/mopar-tapping-screw-6036651aa
Challenger,R/T Scat Pack 6.4L,v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door,68066169AA,68066169AA,Key Cylinder To Latch Link,,https://www.moparamerica.com/oem-parts/mopar-key-cylinder-to-latch-link-68066169aa
Challenger,R/T Scat Pack 6.4L,v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door,5UV44SZ6AB,5UV44SZ6AB,"Door Latch Knob And Link, Right",,https://www.moparamerica.com/oem-parts/mopar-door-latch-knob-and-link-right-5uv44sz6ab
Challenger,R/T Scat Pack 6.4L,v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door,5UV45SZ6AB,5UV45SZ6AB,"Door Latch Knob And Link, Left",,https://www.moparamerica.com/oem-parts/mopar-door-latch-knob-and-link-left-5uv45sz6ab
Challenger,R/T Scat Pack 6.4L,v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door,68185764AD,68185764AD,"Inside Handle To Latch Cable, Right",Front Door.,https://www.moparamerica.com/oem-parts/mopar-inside-handle-to-latch-cable-right-68185764ad
Challenger,SRT 392 6.4L,v-2017-dodge-challenger--srt-392--6-4l-v8-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door,68174640AH,68174640AH,"Front Door Latch, Right",FRONT DOOR,https://www.moparamerica.com/oem-parts/mopar-front-door-latch-right-68174640ah
Challenger,SRT 392 6.4L,v-2017-dodge-challenger--srt-392--6-4l-v8-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door,68174641AH,68174641AH,"Front Door Latch, Left",FRONT DOOR,https://www.moparamerica.com/oem-parts/mopar-front-door-latch-left-68174641ah
Challenger,SRT 392 6.4L,v-2017-dodge-challenger--srt-392--6-4l-v8-gas,front-door,https://www.moparamerica.com/v-2017-dodge-challenger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door,6036651AA,6036651AA,Tapping Screw,M6.3x1.8x38.1. Latch.,https://www.moparamerica.com/oem-parts/mopar-tapping-screw-6036651aa
