category,normalized_part_number,descriptions,challenger_variants,charger_variants,challenger_part_numbers,charger_part_numbers,challenger_sources,charger_sources
exterior-mirror,6101443,Hex Nut And Washer,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,6101443,6101443,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--exterior-mirror | https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--exterior-mirror | https://www.moparamerica.com/v-2017-dodge-challenger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--exterior-mirror | https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--exterior-mirror,https://www.moparamerica.com/v-2017-dodge-charger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--exterior-mirror | https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--exterior-mirror | https://www.moparamerica.com/v-2017-dodge-charger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--exterior-mirror
front-door,1MZ84DX8AM,2013 2021 Mopar Front Door Exterior Handle Right,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,1MZ84DX8AM,1MZ84DX8AM,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-charger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-charger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door
front-door,1MZ84GW7AM,2020 2021 Dodge Challenger Front Door Exterior Handle Right,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,1MZ84GW7AM,1MZ84GW7AM,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-charger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-charger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door
front-door,1MZ84JRYAJ,Front Door Exterior Handle Right,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,1MZ84JRYAJ,1MZ84JRYAJ,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-charger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-charger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door
front-door,1MZ84JSCAJ,Front Door Exterior Handle Right,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,1MZ84JSCAJ,1MZ84JSCAJ,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-charger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-charger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door
front-door,1MZ84KARAM,2011 2021 Mopar Front Door Exterior Handle Right,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,1MZ84KARAM,1MZ84KARAM,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-charger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-charger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door
front-door,1MZ84KBXAM,Front Door Exterior Handle Right,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,1MZ84KBXAM,1MZ84KBXAM,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-charger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-charger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door
front-door,1MZ84LAUAM,2013 2021 Mopar Front Door Exterior Handle Right,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,1MZ84LAUAM,1MZ84LAUAM,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-charger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-charger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door
front-door,1MZ84MGMAM,Front Door Exterior Handle Right,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,1MZ84MGMAM,1MZ84MGMAM,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-charger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-charger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door
front-door,1MZ84NRVAM,2014 2021 Mopar Front Door Exterior Handle Right,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L,R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,1MZ84NRVAM,1MZ84NRVAM,https://www.moparamerica.com/v-2017-dodge-challenger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-charger--r-t--5-7l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door | https://www.moparamerica.com/v-2017-dodge-charger--srt-392--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door
