adr,title,assessment,selected_exact_part_numbers,selected_descriptions,variant_routes,controlled_similarity_statement,regulatory_limit,official_adr_url
8/01,Safety Glazing Material,FUNCTIONAL-ARCHITECTURE PASS,[none — functional comparison],[none],Multiple 2017 Challenger and Charger variants; see source matrix,Both models expose windscreen/door/quarter-glass catalog architecture; no exact glazing service number was established.,"Similarity/catalog evidence only; does not prove ADR compliance, installed VIN configuration or test performance.",https://www.legislation.gov.au/F2005L03908/latest/text
11/00,Internal Sun Visors,FUNCTIONAL-ARCHITECTURE PASS,[none — functional comparison],[none],Multiple 2017 Challenger and Charger variants; see source matrix,"Both models expose visor assemblies and attachments; the sole exact category overlap is an audio microphone, not a visor.","Similarity/catalog evidence only; does not prove ADR compliance, installed VIN configuration or test performance.",https://www.legislation.gov.au/F2006L01785/latest/text
14/02,Rear Vision Mirrors,FUNCTIONAL-ARCHITECTURE PASS,[none — functional comparison],[none],Multiple 2017 Challenger and Charger variants; see source matrix,Both models expose interior/exterior mirror systems; no exact mirror assembly or glass number was established.,"Similarity/catalog evidence only; does not prove ADR compliance, installed VIN configuration or test performance.",https://www.legislation.gov.au/F2006L02663/latest/text
18/03,Instrumentation,FUNCTIONAL-ARCHITECTURE PASS,[none — functional comparison],[none],Multiple 2017 Challenger and Charger variants; see source matrix,Both models expose instrument-cluster and display architecture; no exact cluster service number was established.,"Similarity/catalog evidence only; does not prove ADR compliance, installed VIN configuration or test performance.",https://www.legislation.gov.au/F2006L01392/latest/text
21/00,Instrument Panel,EXACT-DIRECT PART MATCH PASS,1QF13DX9AP | 68110649AA | 68110650AA,1QF13DX9AP — 2011 2021 Mopar Instrument Panel Glove Box | 68110649AA — Glove Box Door Dampener | 68110650AA — Glove Box Door Latch Striker,Challenger: R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L / Charger: R/T 5.7L | SRT 392 6.4L || Challenger: R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L / Charger: R/T 5.7L | SRT 392 6.4L || Challenger: R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L / Charger: R/T 5.7L | SRT 392 6.4L,"Exact common glove-box, dampener and latch-striker components support shared instrument-panel architecture.","Similarity/catalog evidence only; does not prove ADR compliance, installed VIN configuration or test performance.",https://www.legislation.gov.au/F2006L01786/latest/text
25/02,Anti-Theft Lock,EXACT-SUPPORTING PART MATCH PASS,68404422AA,68404422AA — Ignition Switch Trim Ring,Challenger: R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L / Charger: R/T 5.7L | SRT 392 6.4L,"Exact common ignition-switch trim ring is supporting interface evidence only; it does not establish anti-theft lock, steering-lock or immobilizer identity.","Similarity/catalog evidence only; does not prove ADR compliance, installed VIN configuration or test performance.",https://www.legislation.gov.au/F2006L02664/latest/text
29/00,Side Door Strength,FUNCTIONAL-ARCHITECTURE PASS,1MZ84DX8AM | 1MZ85KBXAM,1MZ84DX8AM — 2013 2021 Mopar Front Door Exterior Handle Right | 1MZ85KBXAM — 2013 2018 Mopar Front Door Exterior Handle Left,Challenger: R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L / Charger: R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L || Challenger: R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L / Charger: R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L,Shared front-door handles plus corresponding door/aperture categories support functional body-side architecture; no exact intrusion beam or door-strength structure was established.,"Similarity/catalog evidence only; does not prove ADR compliance, installed VIN configuration or test performance.",https://www.legislation.gov.au/F2006L01429/latest/text
34/02,Child Restraint Anchorages and Child Restraint Anchor Fittings,EXACT-SUPPORTING PART MATCH PASS,4628848AB | 68110232AA | 68110212AA | 68110213AA | 68110214AA,4628848AB — Seat Back Latch Striker | 68110232AA — Seat Latch | 68110212AA — Seat Bracket | 68110213AA — Seat Bracket | 68110214AA — Seat Bracket,Challenger: R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L / Charger: R/T 5.7L | SRT 392 6.4L || Challenger: R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L / Charger: R/T 5.7L | SRT 392 6.4L || Challenger: R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L / Charger: R/T 5.7L | SRT 392 6.4L || Challenger: R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L / Charger: R/T 5.7L | SRT 392 6.4L || Challenger: R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L / Charger: R/T 5.7L | SRT 392 6.4L,Exact common rear-seat latch/striker and seat-bracket parts support rear-seat architecture; no exact child-tether anchorage service number was identified.,"Similarity/catalog evidence only; does not prove ADR compliance, installed VIN configuration or test performance.",https://www.legislation.gov.au/F2012L00703/latest/text
42/04,General Safety Requirements,EXACT-DIRECT PART MATCH PASS,1MZ84DX8AM | 1MZ85KBXAM | 6AD80DX9AA | 6AD81DX9AA,1MZ84DX8AM — 2013 2021 Mopar Front Door Exterior Handle Right | 1MZ85KBXAM — 2013 2018 Mopar Front Door Exterior Handle Left | 6AD80DX9AA — Steering Wheel | 6AD81DX9AA — Steering Wheel,Challenger: R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L / Charger: R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L || Challenger: R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L / Charger: R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L || Challenger: R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L / Charger: R/T 5.7L | SRT 392 6.4L || Challenger: R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L / Charger: R/T 5.7L | SRT 392 6.4L,Exact door-handle and steering-wheel components support common general-safety control architecture.,"Similarity/catalog evidence only; does not prove ADR compliance, installed VIN configuration or test performance.",https://www.legislation.gov.au/F2005L03996/latest/text
69/00,Full Frontal Impact Occupant Protection,EXACT-DIRECT PART MATCH PASS,56054085AA | 6ET081X9AB | 6ET091X9AB | 68140569AG | 68259474AD | 6AD80DX9AA,56054085AA — Acceleration Sensor | 6ET081X9AB — Front Inner Seat Belt Right | 6ET091X9AB — Front Inner Seat Belt Left | 68140569AG — 2014 2021 Mopar Steering Column | 68259474AD — 2014 2021 Mopar Steering Column | 6AD80DX9AA — Steering Wheel,Challenger: R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L / Charger: R/T 5.7L | SRT 392 6.4L || Challenger: R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L / Charger: R/T 5.7L | SRT 392 6.4L || Challenger: R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L / Charger: R/T 5.7L | SRT 392 6.4L || Challenger: R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L / Charger: R/T 5.7L | SRT 392 6.4L || Challenger: R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L / Charger: R/T 5.7L | SRT 392 6.4L || Challenger: R/T 5.7L | R/T Scat Pack 6.4L | SRT 392 6.4L | SXT 3.6L / Charger: R/T 5.7L | SRT 392 6.4L,"Exact acceleration sensor, front inner belts, steering columns and steering-wheel components support common frontal-restraint architecture.","Similarity/catalog evidence only; does not prove ADR compliance, installed VIN configuration or test performance.",https://www.legislation.gov.au/F2006L01455/latest/text
