model,trim,slug,category,assembly,title,source_url,illustration_url,alt,illustration_file,sha256,bytes
Challenger,R/T Scat Pack 6.4L,v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas,front-door,1,"Door Handle Bracket, Right",https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door?assembly=1,https://cdn-illustrations.revolutionparts.io/strapr1/ffa878f6585d4460e417dee802897804/568f5d8d993db2e0d97e821408f4a7f3.png,Front Door for 2017 Dodge Challenger #0,evidence/mopar/expanded_adrs/illustrations/Challenger/front-door/assembly-01.png,54d59cc0020cc1afe07f24bed3b3f14fdacf6611013c496511ef07c9254c5ff1,89234
Challenger,R/T Scat Pack 6.4L,v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas,front-door,2,Tapping Plate,https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/doors-door-mirrors-and-related-parts--front-door?assembly=2,https://cdn-illustrations.revolutionparts.io/strapr1/d27954c65a1cbed6a8373c9a45279b07/66c5750ef9ae87c15e9b42e58fb3bc7f.png,Diagram 2,evidence/mopar/expanded_adrs/illustrations/Challenger/front-door/assembly-02.png,73af1756d26f390a97e5e5000c29df66728666c17f3bde87c9819a70cf895039,66789
Challenger,R/T Scat Pack 6.4L,v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas,headliners-visors,1,"Headliner, Export",https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/interior-trim--headliners-visors-assist-straps?assembly=1,https://cdn-illustrations.revolutionparts.io/strapr1/dd04528f41f7df7aa5c62ed59e997a3e/e447b084c4aa4068cc42416b4ced3604.png,Headliners-Visors-Assist Straps for 2017 Dodge Challenger #0,evidence/mopar/expanded_adrs/illustrations/Challenger/headliners-visors/assembly-01.png,4727fe172d5553562c5f3c17b728e8540ff1186d66dbbb9d0440cf3f6e29e6b2,56840
Challenger,R/T Scat Pack 6.4L,v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas,headliners-visors,2,Headliner,https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/interior-trim--headliners-visors-assist-straps?assembly=2,https://cdn-illustrations.revolutionparts.io/strapr1/a62d4e17b144351afacf422514e98340/5279c2e38214cd9e798f4f7b4fec499b.png,Diagram 2,evidence/mopar/expanded_adrs/illustrations/Challenger/headliners-visors/assembly-02.png,510c4afd5f6b7f48fb5bf1ef2e0020f0dee708d4c07b5f71e5968ec4b2f7ba50,59034
Challenger,R/T Scat Pack 6.4L,v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas,air-bags,1,Steering Column Module,https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/restraints--air-bags?assembly=1,https://cdn-illustrations.revolutionparts.io/strapr1/e4f86c1c805c9bf1dee82dcb0f092690/778b53d1354eef554bf2f32c6d28b5ea.png,Air Bags for 2017 Dodge Challenger #0,evidence/mopar/expanded_adrs/illustrations/Challenger/air-bags/assembly-01.png,9ead02bda1153d540d4fa2c58efe40a5ea765527ae5891c3f2186cba15719a56,70489
Challenger,R/T Scat Pack 6.4L,v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas,air-bags,2,"Seat Air Bag, Right",https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/restraints--air-bags?assembly=2,https://cdn-illustrations.revolutionparts.io/strapr1/b717ca39dae47e7af635ff2b1868a0d4/c143b7fc265a2a0f1fdbddb84f6a28b0.png,Diagram 2,evidence/mopar/expanded_adrs/illustrations/Challenger/air-bags/assembly-02.png,b6cc76fda745a73b8ecd0afcf930c936d4e165917bac9ab665a2e7a4fb9751d2,55072
Challenger,R/T Scat Pack 6.4L,v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas,seat-belts,1,Seat Belt Extender,https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/restraints--seat-belts?assembly=1,https://cdn-illustrations.revolutionparts.io/strapr1/122033de56febd9f155bfb5a8e8be76a/b643f7aaa937a7b9757b9c1986f49ba2.png,Seat Belts for 2017 Dodge Challenger #0,evidence/mopar/expanded_adrs/illustrations/Challenger/seat-belts/assembly-01.png,2acb2272bbf5d00e728589c361f242db2c51a3ffd5be19d78d922951aed46426,24324
Challenger,R/T Scat Pack 6.4L,v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas,seat-belts,2,"Retractor Seat Belt, Right Or Left",https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/restraints--seat-belts?assembly=2,https://cdn-illustrations.revolutionparts.io/strapr1/38abb15c01a77fba6df5bbecd7f96387/2d36528d8d3b28d2329e3fb1f2b8ee39.png,Diagram 2,evidence/mopar/expanded_adrs/illustrations/Challenger/seat-belts/assembly-02.png,1cf84d706541fc6baf6762f5d9d0eaf53f72a1027cf18396c1ec36e280a11615,24737
Challenger,R/T Scat Pack 6.4L,v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas,steering-wheel,1,Oval Head Screw,https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/steering--steering-wheel?assembly=1,https://cdn-illustrations.revolutionparts.io/strapr1/f5f33dd2fe41f0bcf4258cbe45538d1c/3bbbad1bf4b7eb5744e76002e7924a50.png,Steering Wheel for 2017 Dodge Challenger #0,evidence/mopar/expanded_adrs/illustrations/Challenger/steering-wheel/assembly-01.png,bcd7bc46048354fed4c83129c41587559f976bb1f23d595b6b5f3712839b80bf,40534
Challenger,R/T Scat Pack 6.4L,v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas,steering-wheel,2,Paddle Switch Cover Bezel,https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/steering--steering-wheel?assembly=2,https://cdn-illustrations.revolutionparts.io/strapr1/c9849bc3945dc94680b9a623373755e1/48969af8feb110aa20161cea7a92c104.png,Diagram 2,evidence/mopar/expanded_adrs/illustrations/Challenger/steering-wheel/assembly-02.png,84b8b11cc43f5c1afec67806f728d378faad3e75e192c76520224cc386b7f192,49047
Challenger,R/T Scat Pack 6.4L,v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas,aperture-pillars,1,"Body Side Aperture Rear Panel, Right",https://www.moparamerica.com/v-2017-dodge-challenger--r-t-scat-pack--6-4l-v8-gas/body-sheet-metal-except-doors--aperture-panel-and-pillar-supports?assembly=1,https://cdn-illustrations.revolutionparts.io/strapr1/a53c3b1a4e4279195f282d6e767f68c1/8a03a8af75054c410526a002d3c34502.png,Aperture Panel and Pillar Supports for 2017 Dodge Challenger #0,evidence/mopar/expanded_adrs/illustrations/Challenger/aperture-pillars/assembly-01.png,b0a0d36644c7824eb12fc4321302d9b740fca0168b23ed056c6b2220819ef87a,55537
