image_a,model_a,category_a,image_b,model_b,category_b,score,foreground_dice,gray_similarity,phash_distance,dhash_distance,horizontal_flip_used,grade,scoring_basis,category_rank
evidence/mopar/illustrations/2C3CCAEG4HH586472/air-bags__assembly-03.png,Chrysler 300,air-bags,evidence/mopar/illustrations/2C3CDXGJ2HH530684/air-bags__assembly-03.png,Charger,air-bags,0.853304,0.699183,0.98956,6,3,False,STRONG_STRUCTURAL_IMAGE_SIMILARITY,"pixels only: whitespace-trimmed grayscale structure, foreground-mask overlap, pHash and dHash; no part numbers, descriptions, URLs or catalog text used",1
evidence/mopar/expanded_adrs/illustrations/Challenger/air-bags/assembly-01.png,Challenger,air-bags,evidence/mopar/illustrations/2C3CCAEG4HH586472/air-bags__assembly-02.png,Chrysler 300,air-bags,0.561138,0.26704,0.899073,22,20,True,LOW_IMAGE_SIMILARITY,"pixels only: whitespace-trimmed grayscale structure, foreground-mask overlap, pHash and dHash; no part numbers, descriptions, URLs or catalog text used",2
evidence/mopar/expanded_adrs/illustrations/Challenger/air-bags/assembly-02.png,Challenger,air-bags,evidence/mopar/illustrations/2C3CCAEG4HH586472/air-bags__assembly-01.png,Chrysler 300,air-bags,0.561136,0.357879,0.900647,24,29,True,LOW_IMAGE_SIMILARITY,"pixels only: whitespace-trimmed grayscale structure, foreground-mask overlap, pHash and dHash; no part numbers, descriptions, URLs or catalog text used",3
evidence/mopar/expanded_adrs/illustrations/Challenger/aperture-pillars/assembly-02.png,Challenger,aperture-pillars,evidence/mopar/expanded_adrs/illustrations/Charger/aperture-pillars/assembly-02.png,Charger,aperture-pillars,0.557634,0.300373,0.938568,28,15,False,LOW_IMAGE_SIMILARITY,"pixels only: whitespace-trimmed grayscale structure, foreground-mask overlap, pHash and dHash; no part numbers, descriptions, URLs or catalog text used",1
evidence/mopar/expanded_adrs/illustrations/Challenger/aperture-pillars/assembly-01.png,Challenger,aperture-pillars,evidence/mopar/expanded_adrs/illustrations/Charger/aperture-pillars/assembly-01.png,Charger,aperture-pillars,0.550171,0.293808,0.935382,28,17,True,LOW_IMAGE_SIMILARITY,"pixels only: whitespace-trimmed grayscale structure, foreground-mask overlap, pHash and dHash; no part numbers, descriptions, URLs or catalog text used",2
evidence/mopar/expanded_adrs/illustrations/Challenger/aperture-pillars/assembly-02.png,Challenger,aperture-pillars,evidence/mopar/expanded_adrs/illustrations/Charger/aperture-pillars/assembly-01.png,Charger,aperture-pillars,0.534467,0.26898,0.935497,28,20,False,LOW_IMAGE_SIMILARITY,"pixels only: whitespace-trimmed grayscale structure, foreground-mask overlap, pHash and dHash; no part numbers, descriptions, URLs or catalog text used",3
evidence/mopar/expanded_adrs/illustrations/Challenger/floor-pans/assembly-01.png,Challenger,floor-pans,evidence/mopar/expanded_adrs/illustrations/Charger/floor-pans/assembly-02.png,Charger,floor-pans,0.552351,0.308346,0.905576,26,21,False,LOW_IMAGE_SIMILARITY,"pixels only: whitespace-trimmed grayscale structure, foreground-mask overlap, pHash and dHash; no part numbers, descriptions, URLs or catalog text used",1
evidence/mopar/expanded_adrs/illustrations/Challenger/floor-pans/assembly-01.png,Challenger,floor-pans,evidence/mopar/expanded_adrs/illustrations/Charger/floor-pans/assembly-01.png,Charger,floor-pans,0.526217,0.275065,0.928795,28,24,False,LOW_IMAGE_SIMILARITY,"pixels only: whitespace-trimmed grayscale structure, foreground-mask overlap, pHash and dHash; no part numbers, descriptions, URLs or catalog text used",2
evidence/mopar/expanded_adrs/illustrations/Challenger/floor-pans/assembly-02.png,Challenger,floor-pans,evidence/mopar/expanded_adrs/illustrations/Charger/floor-pans/assembly-01.png,Charger,floor-pans,0.511145,0.175026,0.936742,22,30,False,LOW_IMAGE_SIMILARITY,"pixels only: whitespace-trimmed grayscale structure, foreground-mask overlap, pHash and dHash; no part numbers, descriptions, URLs or catalog text used",3
evidence/mopar/door_variants/illustrations/Challenger_R-T_5.7L/assembly-03.png,Challenger,front-door,evidence/mopar/door_variants/illustrations/Charger_R-T_5.7L/assembly-03.png,Charger,front-door,0.703398,0.389942,0.982583,10,11,False,LOW_IMAGE_SIMILARITY,"pixels only: whitespace-trimmed grayscale structure, foreground-mask overlap, pHash and dHash; no part numbers, descriptions, URLs or catalog text used",1
