vin,vehicle,vin_lookup_status,category,category_slug,assembly,assembly_title,source_url,illustration_url,illustration_file,status,sha256,bytes,part_count
2C3CDXGJ2HH530684,2017 Dodge Charger R/T Scat Pack 6.4L V8 Gas,accepted_by_moparamerica_search,front-seat-adjusters,interior-trim--front-seats-adjusters-recliners-shields-and-risers,1,Seat Bolt,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/interior-trim--front-seats-adjusters-recliners-shields-and-risers?assembly=1,https://cdn-illustrations.revolutionparts.io/strapr1/196aeaf8e4b06d8f08b9f5482a557052/779f3373ee729415d93f9a015e8e7d9b.png,evidence/mopar/illustrations/2C3CDXGJ2HH530684/front-seat-adjusters__assembly-01.png,cached,770401fd0145125ea93a7856ad37254ffaa0c7921ea99e44aa8e6cfb3b9886fd,57972,44
2C3CDXGJ2HH530684,2017 Dodge Charger R/T Scat Pack 6.4L V8 Gas,accepted_by_moparamerica_search,front-seat-adjusters,interior-trim--front-seats-adjusters-recliners-shields-and-risers,2,Seat Back Blower,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/interior-trim--front-seats-adjusters-recliners-shields-and-risers?assembly=2,https://cdn-illustrations.revolutionparts.io/strapr1/9b1f6a18703cf102fb03634c1b4a2bbe/0dfa434a3e2086a63d70e7e21f9206a3.png,evidence/mopar/illustrations/2C3CDXGJ2HH530684/front-seat-adjusters__assembly-02.png,cached,d59a9d20079d1c738e9336fb6b61d3aa883cf566e367eac4c4899ba1d03ec3f4,78330,30
2C3CDXGJ2HH530684,2017 Dodge Charger R/T Scat Pack 6.4L V8 Gas,accepted_by_moparamerica_search,front-seat-adjusters,interior-trim--front-seats-adjusters-recliners-shields-and-risers,3,Seat Bolt,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/interior-trim--front-seats-adjusters-recliners-shields-and-risers?assembly=3,https://cdn-illustrations.revolutionparts.io/strapr1/5a126df6502cc8ac89ba43fcbd3f2cd6/4a34aa420b49daf2ac987afc71570549.png,evidence/mopar/illustrations/2C3CDXGJ2HH530684/front-seat-adjusters__assembly-03.png,cached,db07cd2b60382aa44332db42e3c791adea0f1eb00628256ba1a0242c576c1ee9,73830,32
2C3CDXGJ2HH530684,2017 Dodge Charger R/T Scat Pack 6.4L V8 Gas,accepted_by_moparamerica_search,rear-seats-second-row,interior-trim--rear-seats-second-row,1,Assist Strap,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/interior-trim--rear-seats-second-row?assembly=1,https://cdn-illustrations.revolutionparts.io/strapr1/af935bcd8df8858882e441304360daa9/77a93ff5a4243f676ce01ed7f2898d9c.png,evidence/mopar/illustrations/2C3CDXGJ2HH530684/rear-seats-second-row__assembly-01.png,cached,0abd519d6262caca74f249940354edeaaf14c5e66bdef042edf98d6443f6e154,55867,121
2C3CDXGJ2HH530684,2017 Dodge Charger R/T Scat Pack 6.4L V8 Gas,accepted_by_moparamerica_search,rear-seats-second-row,interior-trim--rear-seats-second-row,2,Armrest Lid Hinge Pin,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/interior-trim--rear-seats-second-row?assembly=2,https://cdn-illustrations.revolutionparts.io/strapr1/a65e46597c89a033d457d5e36f1b0ca4/c0aee9a481e6ee52a3e99fe38501396d.png,evidence/mopar/illustrations/2C3CDXGJ2HH530684/rear-seats-second-row__assembly-02.png,cached,d7d4ea90f8fae41ea596e147477dae1424f3f3e49fccf0d88a193f32482f8399,21248,0
2C3CDXGJ2HH530684,2017 Dodge Charger R/T Scat Pack 6.4L V8 Gas,accepted_by_moparamerica_search,rear-seats-second-row,interior-trim--rear-seats-second-row,3,Rear Seat Back Frame,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/interior-trim--rear-seats-second-row?assembly=3,https://cdn-illustrations.revolutionparts.io/strapr1/8446c7d4c17a8329f0e72a8f71765990/d4e4200b578dc31372d21368a4e4fdfa.png,evidence/mopar/illustrations/2C3CDXGJ2HH530684/rear-seats-second-row__assembly-03.png,cached,78ecfa91fe7c9e70c4db7072629d3aa5c907f3658b5c4f0158544c70a0c34e6d,52392,0
2C3CDXGJ2HH530684,2017 Dodge Charger R/T Scat Pack 6.4L V8 Gas,accepted_by_moparamerica_search,rear-seat-adjusters,interior-trim--rear-seats-second-row-adjusters-recliners-shields-and-risers,1,Bushing 21,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/interior-trim--rear-seats-second-row-adjusters-recliners-shields-and-risers,https://cdn-illustrations.revolutionparts.io/strapr1/c6da981bc025aed1cadaec7dd62d42d7/d3a80207166b9792a613c153e8ee6ba8.png,evidence/mopar/illustrations/2C3CDXGJ2HH530684/rear-seat-adjusters__assembly-01.png,cached,817a4021764c4ec492422383b62fc908d471170f7d4a2c686e765fdff3068e26,47366,37
2C3CDXGJ2HH530684,2017 Dodge Charger R/T Scat Pack 6.4L V8 Gas,accepted_by_moparamerica_search,seat-belts,restraints--seat-belts,1,Seat Belt Extender,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/restraints--seat-belts?assembly=1,https://cdn-illustrations.revolutionparts.io/strapr1/243f153f7dbcb0a086341492e5bc234e/8f43ae2c11773cd3901b10f2ec9b2712.png,evidence/mopar/illustrations/2C3CDXGJ2HH530684/seat-belts__assembly-01.png,cached,bd8b72d2d1393896debafc4fe431419093a929ecc2a6645d3c00d6b92e286d0b,28253,16
2C3CDXGJ2HH530684,2017 Dodge Charger R/T Scat Pack 6.4L V8 Gas,accepted_by_moparamerica_search,seat-belts,restraints--seat-belts,2,"Retractor Seat Belt, Left",https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/restraints--seat-belts?assembly=2,https://cdn-illustrations.revolutionparts.io/strapr1/7765e4d61e0125db65488fd56a97e1aa/61c880b11ae073f4c213910b9392f0fb.png,evidence/mopar/illustrations/2C3CDXGJ2HH530684/seat-belts__assembly-02.png,cached,82bb1ff401db3b79d040da88f25623a6ff2fe84e79cdd86749e204669ae15d04,24737,13
2C3CDXGJ2HH530684,2017 Dodge Charger R/T Scat Pack 6.4L V8 Gas,accepted_by_moparamerica_search,air-bags,restraints--air-bags,1,Screw,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/restraints--air-bags?assembly=1,https://cdn-illustrations.revolutionparts.io/strapr1/d6bb9e69b13e3e0c088f798560b1073f/f80f302a1d931c358a117a34c64d7ab9.png,evidence/mopar/illustrations/2C3CDXGJ2HH530684/air-bags__assembly-01.png,cached,f2a075c131aecca44808efa7a543f5e8cfc68805ed4d0e2c42ffbc28b69bc8ef,21252,13
