callout,description,distinct_part_numbers,nominal_qty,source_pdf_pages,shown_in_exploded_drawing,potential_ADR_relevance,notes
1,"PANEL, Front Seat Back",1UY02DX9AC,1,"4-5",yes,"Low/secondary","Trim/back panel; not primary load-path hardware."
2,"FRAME, Front Seat Back","68159139AA; 68593541AA; 68593544AA",1,5,yes,"High","Structural seat-back frame; alternative part numbers depend on sales/build codes."
3,"ADJUSTER, Power Seat","68193460AC; 68193462AC",1,"5-6",yes,"High","Seat track/adjuster assembly and load path to floor; alternative part numbers depend on sales/build codes."
4,"COVER, Track, Rear",1UV50DX9AA,"4 typical; 1 on some C8/X5 rows","6-7",yes,"Low/secondary","Protective/cosmetic track cover."
5,"COVER, Track, Front",1UV51DX9AA,"4 typical; 1 on some C8/X5 rows","7-8",yes,"Low/secondary","Protective/cosmetic track cover."
6,"SCREW, Hex Head, M14x1.5x109.0, Adjuster To Floor",06507594AA,8,8,yes,"High","Direct seat-to-floor anchorage fastener; quantity is catalog quantity, not independently verified per one seat."
7,"BRACKET, Seat, Side Shield Attaching",68157098AA,1,8,yes,"Low to medium","Attaches side shield; not identified by this document as primary structural anchorage."
8,"SHIELD, Seat Adjuster",1UZ62DX9AC,1,"8-9",yes,"Low/secondary","Protective/cosmetic adjuster shield."
9,"COVER, Front Seat Anchor Bolt","1UV75DX9AA; 1UV75DX9AB",1,"9-11",yes,"Low/secondary","Anchor-bolt cover; AA/AB alternatives are build-code dependent in this unfiltered list."
10,"CHUTE, Airbag","68102980AA; 68103691AA",2,11,yes,"High/medium","Seat airbag deployment-path component; alternative part numbers depend on build codes."
-11,"BLOWER, Seat Back",55057389AD,2,"11-12",no,"Low","Comfort/ventilation component; table callout carries a hyphen and is absent from drawing."
-12,"BLOWER, Seat Cushion",68306763AA,2,12,no,"Low","Comfort/ventilation component; table callout carries a hyphen and is absent from drawing."
-13,"BRACKET, Module, Heated Seat Module, (NOT SERVICED)","None listed","Not listed",12,no,"Low","No service part number supplied; table explicitly says NOT SERVICED."
-14,"BOLT, Seat, Seat Back to Cushion",68104960AA,"8 typical; 1 on some C8/X5 rows","12-13",no,"High","Seat-back-to-cushion structural joint fastener; absent from drawing despite table listing."
-15,"NUT, M6x1.00, Air Bag Attaching",68104961AA,"6 typical; 1 on some C8/X5 rows",13,no,"High/medium","Airbag attachment fastener; absent from drawing despite table listing."
